year,month,date,Season,dataSeason,company,track,volume_origin,volume_desc,volume,origin_round,round
2017,Jun,Jun-17,Q2,2017 Q2,VR小伴马,Early Childhood Edu.,2000,2000,2000,Pre-A,Pre-A
2016,Jul,Jul-16,Q3,2016 Q3,Wake瑜伽,Enrichment Programs,1500,1500,1500,Pre-A,Pre-A
2018,Sep,Sep-18,Q3,2018 Q3,WeCode,STEM,1000万人民币,1000,1000,Seed/Angel,Seed/Angel
2016,Jul,Jul-16,Q3,2016 Q3,Weidong Group Edu,SaaS & Informatization,40000,40000,40000,A,A
2014,Apr,Apr-14,Q2,2014 Q2,WheelNet,Vocational Edu.,0,0,10000,A,A
2014,Dec,Dec-14,Q4,2014 Q4,WheelNet,Vocational Edu.,16500,16500,16500,B,B
2016,Apr,Apr-16,Q2,2016 Q2,WheelNet,Vocational Edu.,38500,38500,38500,C,C
2016,Dec,Dec-16,Q4,2016 Q4,WheelNet,Vocational Edu.,10000,10000,10000,C+,C
2015,Jun,Jun-15,Q2,2015 Q2,wisdom garden,Higher Edu.,3300,3300,3300,A,A
2015,Mar,Mar-15,Q1,2015 Q1,Xiaozhan Jiaoyu,Language Learning,18473,18473,18473,B,B
2015,Dec,Dec-15,Q4,2015 Q4,Xiaozhan Jiaoyu,Language Learning,53508,53508,53508,C,C
2014,Aug,Aug-14,Q3,2014 Q3,Xing Shuai Teach ,Vocational Edu.,19500,19500,19500,A,A
2016,Apr,Apr-16,Q2,2016 Q2,Xing Shuai Teach ,Vocational Edu.,30000,30000,30000,B,B
2015,Jul,Jul-15,Q3,2015 Q3,XPlus Eudcation,K12,3000,3000,3000,Seed/Angel,Seed/Angel
2017,Mar,Mar-17,Q1,2017 Q1,XPlus Eudcation,K12,27000,27000,27000,Seed/Angel,Seed/Angel
2018,Jul,Jul-18,Q3,2018 Q3,XSCHOOL,STEM,数千万人民币,2000,2000,Pre-A,Pre-A
2015,Jan,Jan-15,Q1,2015 Q1,Xstudy,K12,2000,2000,2000,Pre-A,Pre-A
2015,Jun,Jun-15,Q2,2015 Q2,Xstudy,K12,12740,12740,12740,B,B
2015,Jul,Jul-15,Q3,2015 Q3,Xstudy,K12,15288,15288,15288,B+,B
2016,Jun,Jun-16,Q2,2016 Q2,Xstudy,K12,12000,12000,12000,C,C
2014,Mar,Mar-14,Q1,2014 Q1,Xueba100,K12,3250,3250,3250,A,A
2015,Jun,Jun-15,Q2,2015 Q2,Xueba100,K12,31850,31850,31850,B,B
2016,Nov,Nov-16,Q4,2016 Q4,Xueba100,K12,0,0,31850,B+,B
2017,Jan,Jan-17,Q1,2017 Q1,Xueba100,K12,68000,68000,68000,C,C
2017,Sep,Sep-17,Q3,2017 Q3,YBDL,Enrichment Programs,2000,2000,2000,A,A
2018,Mar,Mar-18,Q1,2018 Q1,YBDL,Enrichment Programs,5000,5000,5000,A+,A
2014,Jul,Jul-14,Q3,2014 Q3,Yuantiku,K12,9750,9750,9750,C,C
2015,Mar,Mar-15,Q1,2015 Q1,Yuantiku,K12,38220,38220,38220,D,D
2016,May,May-16,Q2,2016 Q2,Yuantiku,K12,26000,26000,26000,D+,D
2017,Jun,Jun-17,Q2,2017 Q2,Yuantiku,K12,81600,81600,81600,E,E
2015,Jul,Jul-15,Q3,2015 Q3,Zhangmen,K12,2000,2000,2000,A,A
2016,Mar,Mar-16,Q1,2016 Q1,Zhangmen,K12,2000,2000,2000,B,B
2016,Sep,Sep-16,Q3,2016 Q3,Zhangmen,K12,20000,20000,20000,C,C
2017,Jul,Jul-17,Q3,2017 Q3,Zhangmen,K12,0,0,20000,C+,C
2018,Jan,Jan-18,Q1,2018 Q1,Zhangmen,K12,78000,78000,78000,D,D
2014,Jun,Jun-14,Q2,2014 Q2,Zhihu,Paid Knowledge,14300,14300,14300,B,B
2015,Sep,Sep-15,Q3,2015 Q3,Zhihu,Paid Knowledge,35035,35035,35035,C,C
2017,Jan,Jan-17,Q1,2017 Q1,Zhihu,Paid Knowledge,68000,68000,68000,D,D
2018,Jul,Jul-18,Q3,2018 Q3,Zhihu,Paid Knowledge,183600,183600,183600,E,E
2015,Dec,Dec-15,Q4,2015 Q4,Zhihui Shu,Higher Edu.,0,0,2000,A,A
2016,Mar,Mar-16,Q1,2016 Q1,Zhihui Shu,Higher Edu.,0,0,10000,A+,A
2016,Oct,Oct-16,Q4,2016 Q4,Zhihui Shu,Higher Edu.,35000,35000,35000,B,B
2015,Sep,Sep-15,Q3,2015 Q3,Zuoyebang,K12,12740,12740,12740,A,A
2016,May,May-16,Q2,2016 Q2,Zuoyebang,K12,0,0,12740,A+,A
2016,Sep,Sep-16,Q3,2016 Q3,Zuoyebang,K12,39000,39000,39000,B,B
2017,Aug,Aug-17,Q3,2017 Q3,Zuoyebang,K12,102000,102000,102000,C,C
2018,Jul,Jul-18,Q3,2018 Q3,Zuoyebang,K12,227500,227500,227500,D,D
2018,Oct,Oct-18,Q4,2018 Q4,Zuoyebang,K12,5亿美元,325000,325000,E,E
2016,Jul,Jul-16,Q3,2016 Q3,阿卡索,Language Learning,3100,3100,3100,A,A
2017,Oct,Oct-17,Q4,2017 Q4,阿卡索,Language Learning,8000,8000,8000,B+,B
2017,Nov,Nov-17,Q4,2017 Q4,啊哈编程星球,STEM,数百万人民币,200,200,Seed/Angel,Seed/Angel
2018,Jul,Jul-18,Q3,2018 Q3,啊哈编程星球,STEM,1000万人民币,1000,1000,Seed/Angel,Seed/Angel
2016,Oct,Oct-16,Q4,2016 Q4,爱贝睿,Enrichment Programs,1000,1000,1000,Pre-A,Pre-A
2018,Oct,Oct-18,Q4,2018 Q4,爱而知幼教,Early Childhood Edu.,未透露,0,0,Seed/Angel,Seed/Angel
2014,May,May-14,Q2,2014 Q2,爱考拉,K12,1000,1000,1000,A,A
2018,Jan,Jan-18,Q1,2018 Q1,爱来课,SaaS & Informatization,200,200,200,Seed/Angel,Seed/Angel
2017,Oct,Oct-17,Q4,2017 Q4,爱培优,K12,200,200,200,Seed/Angel,Seed/Angel
2018,Aug,Aug-18,Q3,2018 Q3,爱培优,K12,数千万人民币,2000,2000,Pre-A,Pre-A
2015,Mar,Mar-15,Q1,2015 Q1,爱赛达课,Language Learning,0,0,4000,A,A
2018,Mar,Mar-18,Q1,2018 Q1,爱上学习,Vocational Edu.,1000,1000,1000,Strategic Investment,Strategic Investment
2017,Dec,Dec-17,Q4,2017 Q4,爱思益,Study Abroad Services,800,800,800,Pre-A,Pre-A
2016,Mar,Mar-16,Q1,2016 Q1,爱天教育科技,Language Learning,20,20,20,Seed/Angel,Seed/Angel
2018,Oct,Oct-18,Q4,2018 Q4,爱徒VR,Others,数百万人民币,200,200,Seed/Angel,Seed/Angel
2018,Jul,Jul-18,Q3,2018 Q3,爱学堂,K12,未透露,0,0,Seed/Angel,Seed/Angel
2014,Jul,Jul-14,Q3,2014 Q3,爱语吧,Language Learning,1000,1000,1000,A,A
2015,Jun,Jun-15,Q2,2015 Q2,爱预科,Study Abroad Services,2000,2000,2000,Seed/Angel,Seed/Angel
2015,Nov,Nov-15,Q4,2015 Q4,爱早教,Early Childhood Edu.,2000,2000,2000,A,A
2016,Sep,Sep-16,Q3,2016 Q3,凹凸教育,K12,2000,2000,2000,A,A
2017,Jun,Jun-17,Q2,2017 Q2,傲梦编程,STEM,未披露,0,0,Seed/Angel,Seed/Angel
2017,Aug,Aug-17,Q3,2017 Q3,傲梦编程,STEM,未披露,0,0,Seed/Angel,Seed/Angel
2017,Dec,Dec-17,Q4,2017 Q4,傲梦编程,STEM,数千万人民币,2000,2000,A,A
2018,Sep,Sep-18,Q3,2018 Q3,傲梦编程,STEM,1.2亿人民币,12000,12000,B,B
2016,Oct,Oct-16,Q4,2016 Q4,奥本未来,Paid Knowledge,200,200,200,Seed/Angel,Seed/Angel
2018,Mar,Mar-18,Q1,2018 Q1,奥创熊,STEM,200,200,200,Seed/Angel,Seed/Angel
2016,Aug,Aug-16,Q3,2016 Q3,爸妈搜,Paid Knowledge,100,100,100,Seed/Angel,Seed/Angel
2017,Jan,Jan-17,Q1,2017 Q1,白塔岭,Enrichment Programs,2000,2000,2000,A,A
2018,Apr,Apr-18,Q2,2018 Q2,百家云,SaaS & Informatization,6000,6000,6000,A+,A
2016,Jun,Jun-16,Q2,2016 Q2,百年英才,K12,1000,1000,1000,A,A
2017,May,May-17,Q2,2017 Q2,百通世纪,Vocational Edu.,2000,2000,2000,Pre-A,Pre-A
2018,May,May-18,Q2,2018 Q2,百通世纪,Vocational Edu.,2000,2000,2000,A,A
2017,May,May-17,Q2,2017 Q2,百造教育PACEE派希,Enrichment Programs,200,200,200,Seed/Angel,Seed/Angel
2017,May,May-17,Q2,2017 Q2,百造学堂,SaaS & Informatization,100,100,100,Seed/Angel,Seed/Angel
2018,Aug,Aug-18,Q3,2018 Q3,斑马老师,Language Learning,数千万人民币,2000,2000,Seed/Angel,Seed/Angel
2016,Jun,Jun-16,Q2,2016 Q2,斑马少年运动,Enrichment Programs,未披露,0,0,Seed/Angel,Seed/Angel
2018,Aug,Aug-18,Q3,2018 Q3,斑马少年运动,Enrichment Programs,1000万人民币,1000,1000,Pre-A,Pre-A
2018,Jul,Jul-18,Q3,2018 Q3,斑马星空,Study Abroad Services,1300万人民币,1300,1300,Seed/Angel,Seed/Angel
2018,Sep,Sep-18,Q3,2018 Q3,斑码编程,STEM,5000万人民币,5000,5000,Pre-A,Pre-A
2015,Mar,Mar-15,Q1,2015 Q1,榜样（趣寻网）,K12,0,0,4000,A,A
2015,May,May-15,Q2,2015 Q2,宝宝巴士Baby Bus,Early Childhood Edu.,4000,4000,4000,B,B
2018,Jul,Jul-18,Q3,2018 Q3,宝宝快乐说,Early Childhood Edu.,未透露,0,0,Seed/Angel,Seed/Angel
2018,Mar,Mar-18,Q1,2018 Q1,宝宝玩英语,Language Learning,15000,15000,15000,B,B
2015,Jun,Jun-15,Q2,2015 Q2,宝贝全计划,Early Childhood Edu.,2000,2000,2000,B,B
2015,Oct,Oct-15,Q4,2015 Q4,宝贝玩啥,Early Childhood Edu.,200,200,200,Seed/Angel,Seed/Angel
2015,Sep,Sep-15,Q3,2015 Q3,宝贝走天下,Early Childhood Edu.,500,500,500,Seed/Angel,Seed/Angel
2016,May,May-16,Q2,2016 Q2,保利威视,SaaS & Informatization,2000,2000,2000,Pre-A,Pre-A
2016,Dec,Dec-16,Q4,2016 Q4,报哪好,K12,未披露,0,0,Seed/Angel,Seed/Angel
2017,May,May-17,Q2,2017 Q2,报哪好,K12,未披露,0,0,Pre-A,Pre-A
2018,Aug,Aug-18,Q3,2018 Q3,报哪好,K12,未披露,0,0,A,A
2017,Mar,Mar-17,Q1,2017 Q1,豹变老板,Vocational Edu.,500,500,500,Seed/Angel,Seed/Angel
2015,Apr,Apr-15,Q2,2015 Q2,北风网,Vocational Edu.,6400,6400,6400,B,B
2018,Jan,Jan-18,Q1,2018 Q1,北风网,Vocational Edu.,2000,2000,2000,B+,B
2017,Jan,Jan-17,Q1,2017 Q1,北教文化,K12,5910,5910,5910,新三板,NEEQ Fund-raising
2015,Oct,Oct-15,Q4,2015 Q4,北京趣乐,Enrichment Programs,2000,2000,2000,A,A
2017,Jan,Jan-17,Q1,2017 Q1,北京市新府学外国语学校,K12,1000,1000,1000,A,A
2018,Sep,Sep-18,Q3,2018 Q3,北伦敦国际教育,Early Childhood Edu.,1400万人民币,1400,1400,Pre-A,Pre-A
2016,Feb,Feb-16,Q1,2016 Q1,北美留学生日报,Study Abroad Services,1000,1000,1000,Pre-A,Pre-A
2017,Nov,Nov-17,Q4,2017 Q4,北美留学生日报,Study Abroad Services,2000,2000,2000,A,A
2017,Mar,Mar-17,Q1,2017 Q1,贝贝帮,K12,300,300,300,Undiscloused,Undiscloused
2015,Aug,Aug-15,Q3,2015 Q3,贝贝单词,Language Learning,200,200,200,Seed/Angel,Seed/Angel
2016,Jan,Jan-16,Q1,2016 Q1,贝贝单词,Language Learning,200,200,200,Pre-A,Pre-A
2015,Aug,Aug-15,Q3,2015 Q3,贝壳单词,Language Learning,50,50,50,Seed/Angel,Seed/Angel
2018,Jun,Jun-18,Q2,2018 Q2,贝壳亲子英语,Language Learning,0,0,800,Seed/Angel,Seed/Angel
2017,Jul,Jul-17,Q3,2017 Q3,贝拉教育,Study Abroad Services,2000,2000,2000,A,A
2018,Jun,Jun-18,Q2,2018 Q2,贝乐虎,Early Childhood Edu.,1000,1000,1000,Pre-A,Pre-A
2015,Jul,Jul-15,Q3,2015 Q3,贝乐学科英语,Language Learning,20000,20000,20000,B,B
2015,Mar,Mar-15,Q1,2015 Q1,贝聊,Early Childhood Edu.,1274,1274,1274,A,A
2016,Jan,Jan-16,Q1,2016 Q1,贝聊,Early Childhood Edu.,10000,10000,10000,B,B
2015,Nov,Nov-15,Q4,2015 Q4,贝美互动,Early Childhood Edu.,2000,2000,2000,Pre-A,Pre-A
2016,Dec,Dec-16,Q4,2016 Q4,贝梦宝智育,Early Childhood Edu.,0,0,4000,A,A
2015,Jan,Jan-15,Q1,2015 Q1,贝斯特教育/网龙,K12,33443,33443,33443,A,A
2016,Sep,Sep-16,Q3,2016 Q3,贝瓦商务咨询,Study Abroad Services,2000,2000,2000,A,A
2015,May,May-15,Q2,2015 Q2,笨鸟雅思,Language Learning,未披露,0,0,Seed/Angel,Seed/Angel
2016,Aug,Aug-16,Q3,2016 Q3,笨鸟雅思,Language Learning,未披露,0,0,Pre-A,Pre-A
2017,Sep,Sep-17,Q3,2017 Q3,笨鸟雅思,Language Learning,未披露,0,0,A,A
2018,Oct,Oct-18,Q4,2018 Q4,笨鸟雅思,Language Learning,数千万人民币,2000,2000,B,B
2017,Dec,Dec-17,Q4,2017 Q4,比邻星,K12,500,500,500,Undiscloused,Undiscloused
2018,Oct,Oct-18,Q4,2018 Q4,编程屋,STEM,数百万人民币,200,200,Seed/Angel,Seed/Angel
2018,Apr,Apr-18,Q2,2018 Q2,编程侠,STEM,100,100,100,Seed/Angel,Seed/Angel
2016,Dec,Dec-16,Q4,2016 Q4,编玩边学,STEM,80万人民币,80,80,Seed/Angel,Seed/Angel
2017,Apr,Apr-17,Q2,2017 Q2,编玩边学,STEM,1000万人民币,1000,1000,Seed/Angel,Seed/Angel
2017,Oct,Oct-17,Q4,2017 Q4,编玩边学,STEM,数千万人民币,2000,2000,Pre-A,Pre-A
2018,Apr,Apr-18,Q2,2018 Q2,编玩边学,STEM,数千万人民币,2000,2000,A,A
2018,Aug,Aug-18,Q3,2018 Q3,编玩边学,STEM,数千万人民币,2000,2000,Pre-B,B
2017,Nov,Nov-17,Q4,2017 Q4,编玩编学,STEM,2000,2000,2000,Pre-A,Pre-A
2018,Aug,Aug-18,Q3,2018 Q3,波比英语,Language Learning,数千万人民币,2000,2000,Seed/Angel,Seed/Angel
2016,Dec,Dec-16,Q4,2016 Q4,播米亲子,Early Childhood Edu.,300,300,300,Seed/Angel,Seed/Angel
2015,Jun,Jun-15,Q2,2015 Q2,铂略财务培训,Vocational Edu.,2000,2000,2000,Seed/Angel,Seed/Angel
2016,Oct,Oct-16,Q4,2016 Q4,铂略咨询,Vocational Edu.,2200,2200,2200,A,A
2016,Oct,Oct-16,Q4,2016 Q4,博览网,Vocational Edu.,0,0,3000,Pre-A,Pre-A
2018,Jun,Jun-18,Q2,2018 Q2,博鸟绘本,Early Childhood Edu.,500,500,500,Seed/Angel,Seed/Angel
2017,Dec,Dec-17,Q4,2017 Q4,博沃思教育,Enrichment Programs,2000,2000,2000,A,A
2016,Sep,Sep-16,Q3,2016 Q3,布卡互动,SaaS & Informatization,200万人民币,200,200,Seed/Angel,Seed/Angel
2017,May,May-17,Q2,2017 Q2,布卡互动,SaaS & Informatization,1000万人民币,1000,1000,Pre-A,Pre-A
2018,Aug,Aug-18,Q3,2018 Q3,布卡互动,SaaS & Informatization,未透露,0,0,A,A
2018,May,May-18,Q2,2018 Q2,才鹿,Others,200,200,200,Seed/Angel,Seed/Angel
2016,May,May-16,Q2,2016 Q2,财金通,Vocational Edu.,4767,4767,4767,A,A
2018,May,May-18,Q2,2018 Q2,彩贝壳,Early Childhood Edu.,6500,6500,6500,A,A
2018,Sep,Sep-18,Q3,2018 Q3,彩虹堂英语,Early Childhood Edu.,1000万人民币,1000,1000,Seed/Angel,Seed/Angel
2018,Mar,Mar-18,Q1,2018 Q1,彩虹蜗牛,Enrichment Programs,5100,5100,5100,A,A
2016,May,May-16,Q2,2016 Q2,插坐学院,Vocational Edu.,700,700,700,Pre-A,Pre-A
2018,Jan,Jan-18,Q1,2018 Q1,唱唱启蒙英语,Language Learning,500万人民币,500,500,Seed/Angel,Seed/Angel
2018,Jul,Jul-18,Q3,2018 Q3,唱唱启蒙英语,Language Learning,1000万人民币,1000,1000,Pre-A,Pre-A
2014,Aug,Aug-14,Q3,2014 Q3,超级课程表,Higher Edu.,13000,13000,13000,B,B
2018,May,May-18,Q2,2018 Q2,超竞教育,Vocational Edu.,2000,2000,2000,Seed/Angel,Seed/Angel
2018,Apr,Apr-18,Q2,2018 Q2,超优教育,K12,3000,3000,3000,A,A
2016,Nov,Nov-16,Q4,2016 Q4,成都儿童团,Study Abroad Services,1000,1000,1000,Strategic Investment,Strategic Investment
2018,Jun,Jun-18,Q2,2018 Q2,橙色星球,Paid Knowledge,200,200,200,Seed/Angel,Seed/Angel
2016,Mar,Mar-16,Q1,2016 Q1,橙旭园,STEM,250万人民币,250,250,Seed/Angel,Seed/Angel
2018,Sep,Sep-18,Q3,2018 Q3,橙旭园,STEM,未透露,0,0,Pre-A,Pre-A
2017,Jun,Jun-17,Q2,2017 Q2,触控未来,SaaS & Informatization,1000,1000,1000,Seed/Angel,Seed/Angel
2017,Sep,Sep-17,Q3,2017 Q3,传智播客,Vocational Edu.,2.47亿人民币,24700,24700,定向增发,NEEQ Fund-raising
2018,Sep,Sep-18,Q3,2018 Q3,传智播客,Vocational Edu.,未透露,0,0,Strategic Investment,Strategic Investment
2018,Apr,Apr-18,Q2,2018 Q2,创豆智能积木,STEM,0,0,800,Seed/Angel,Seed/Angel
2017,Jun,Jun-17,Q2,2017 Q2,创而新,SaaS & Informatization,2000,2000,2000,A,A
2017,Sep,Sep-17,Q3,2017 Q3,创数教育,K12,1000,1000,1000,A,A
2018,Aug,Aug-18,Q3,2018 Q3,创想童年,STEM,数千万人民币,2000,2000,A,A
2015,Sep,Sep-15,Q3,2015 Q3,葱课CongAcademy,Higher Edu.,200,200,200,Seed/Angel,Seed/Angel
2015,Jun,Jun-15,Q2,2015 Q2,答疑君,K12,2000,2000,2000,Pre-A,Pre-A
2018,Aug,Aug-18,Q3,2018 Q3,大耳猴少儿编程,STEM,数百万人民币,200,200,Seed/Angel,Seed/Angel
2014,Nov,Nov-14,Q4,2014 Q4,大家汇,SaaS & Informatization,3250,3250,3250,A,A
2016,Sep,Sep-16,Q3,2016 Q3,大咖说,Vocational Edu.,2000,2000,2000,Pre-A,Pre-A
2018,Jun,Jun-18,Q2,2018 Q2,大思码,STEM,500,500,500,Seed/Angel,Seed/Angel
2016,Dec,Dec-16,Q4,2016 Q4,大嘴外教,Language Learning,1000,1000,1000,Pre-A,Pre-A
2018,Jul,Jul-18,Q3,2018 Q3,代码星球,STEM,未透露,0,0,Seed/Angel,Seed/Angel
2016,May,May-16,Q2,2016 Q2,袋鼠麻麻 / 铭诗教育,Early Childhood Edu.,400,400,400,Seed/Angel,Seed/Angel
2017,Jul,Jul-17,Q3,2017 Q3,袋鼠麻麻 / 铭诗教育,Early Childhood Edu.,2000,2000,2000,Pre-A,Pre-A
2018,Jun,Jun-18,Q2,2018 Q2,袋鼠麻麻 / 铭诗教育,Early Childhood Edu.,2000,2000,2000,A,A
2016,Jan,Jan-16,Q1,2016 Q1,袋鼠先生,Early Childhood Edu.,500,500,500,Seed/Angel,Seed/Angel
2018,Jun,Jun-18,Q2,2018 Q2,丹你耳,Language Learning,200,200,200,Seed/Angel,Seed/Angel
2014,Aug,Aug-14,Q3,2014 Q3,弹吧钢琴,Enrichment Programs,200,200,200,Seed/Angel,Seed/Angel
2015,Nov,Nov-15,Q4,2015 Q4,弹吧钢琴,Enrichment Programs,1274,1274,1274,A,A
2016,Jan,Jan-16,Q1,2016 Q1,弹弹,Enrichment Programs,250,250,250,Seed/Angel,Seed/Angel
2015,Jul,Jul-15,Q3,2015 Q3,蛋白APP-光合邦,Others,350,350,350,Seed/Angel,Seed/Angel
2018,Jun,Jun-18,Q2,2018 Q2,导学号,K12,0,0,30000,C,C
2018,May,May-18,Q2,2018 Q2,导学教育,SaaS & Informatization,0,0,30000,C,C
2018,Mar,Mar-18,Q1,2018 Q1,道远课堂,K12,2000,2000,2000,A,A
2018,Jan,Jan-18,Q1,2018 Q1,德拉学院,STEM,1500,1500,1500,A,A
2016,Jul,Jul-16,Q3,2016 Q3,迪殊教育,Vocational Edu.,900,900,900,Seed/Angel,Seed/Angel
2016,May,May-16,Q2,2016 Q2,地心引力新媒体工场,Vocational Edu.,1050,1050,1050,Seed/Angel,Seed/Angel
2018,Jun,Jun-18,Q2,2018 Q2,第三学府,Enrichment Programs,0,0,5000,Strategic Investment,Strategic Investment
2015,Jul,Jul-15,Q3,2015 Q3,典阅科技,Vocational Edu.,323,323,323,Seed/Angel,Seed/Angel
2017,Aug,Aug-17,Q3,2017 Q3,叮当派/巴黎信息,Early Childhood Edu.,2000,2000,2000,Pre-A,Pre-A
2018,Jan,Jan-18,Q1,2018 Q1,叮当配,Vocational Edu.,0,0,800,Seed/Angel,Seed/Angel
2015,Jul,Jul-15,Q3,2015 Q3,顶你学堂TopU-过来人教育,Higher Edu.,4500,4500,4500,B,B
2016,Jan,Jan-16,Q1,2016 Q1,顶上英语,Language Learning,800,800,800,Seed/Angel,Seed/Angel
2017,Mar,Mar-17,Q1,2017 Q1,顶上英语,Language Learning,2000,2000,2000,A,A
2018,May,May-18,Q2,2018 Q2,顶上英语,Language Learning,2000,2000,2000,A+,A
2018,Aug,Aug-18,Q3,2018 Q3,顶思教育,Study Abroad Services,1000万人民币,1000,1000,Seed/Angel,Seed/Angel
2017,May,May-17,Q2,2017 Q2,东电微校,SaaS & Informatization,1500,1500,1500,A,A
2017,Mar,Mar-17,Q1,2017 Q1,东方爱婴,Early Childhood Edu.,2000,2000,2000,Undiscloused,Undiscloused
2017,Mar,Mar-17,Q1,2017 Q1,东方标准X,Vocational Edu.,200,200,200,Undiscloused,Undiscloused
2014,Aug,Aug-14,Q3,2014 Q3,东方华尔,Vocational Edu.,2000,2000,2000,A,A
2017,Dec,Dec-17,Q4,2017 Q4,东方启音,Early Childhood Edu.,16250,16250,16250,B,B
2015,Jul,Jul-15,Q3,2015 Q3,动吧体育,Enrichment Programs,3000,3000,3000,A,A
2017,Aug,Aug-17,Q3,2017 Q3,都市鼎点,Early Childhood Edu.,2000,2000,2000,新三板,NEEQ Fund-raising
2016,Nov,Nov-16,Q4,2016 Q4,兜兜亲子,Early Childhood Edu.,0,0,800,Seed/Angel,Seed/Angel
2017,Aug,Aug-17,Q3,2017 Q3,读伴儿,Language Learning,2400,2400,2400,Pre-A,Pre-A
2018,Jan,Jan-18,Q1,2018 Q1,对啊网,Vocational Edu.,0,0,12000,B,B
2018,Feb,Feb-18,Q1,2018 Q1,敦善文化,Enrichment Programs,0,0,4000,A,A
2015,Sep,Sep-15,Q3,2015 Q3,多宝APP,Early Childhood Edu.,400,400,400,Seed/Angel,Seed/Angel
2016,Dec,Dec-16,Q4,2016 Q4,多乐小熊,Early Childhood Edu.,0,0,800,Seed/Angel,Seed/Angel
2018,Apr,Apr-18,Q2,2018 Q2,多乐小熊,Early Childhood Edu.,2000,2000,2000,Strategic Investment,Strategic Investment
